user_id,food_id,date,quantity
3878f9c3-762a-42fe-955f-c6738fde3fe2,00b7d404-e609-40b1-b29e-e758dceb57d1,2024-06-17,1
51133114-0d8a-4f85-ad1c-0a45318e449d,013946da-cd4e-45b4-ad6c-c289443bbfbd,2024-06-17,2
4c79058d-42d7-494d-bb64-55430f1290c5,0479bd89-7bed-4369-9bf9-641b8a590df5,2024-06-17,3
a5a77fbe-3825-40ba-be74-f7b4d923c525,0565bc42-84cd-47bc-828b-e5e3c88b6575,2024-06-17,4
91f7d6cb-6d96-46ca-9a4d-377ad84abbfe,085be423-19a2-4284-a210-3e2f95ad0dcb,2024-06-17,5
357b3efa-3546-473b-93f0-57d49960ccf6,0e117ebe-bbf5-48fd-82de-6a86bf103f84,2024-06-17,6
0a13b78e-5f28-4bca-a2e8-906f7391de86,0e2547fa-599e-4038-8e1e-85ac7a5cc8ec,2024-06-17,7
039d7c87-9120-422d-9125-50f97fa0bb2f,0f53f349-f9d0-448f-8eb4-325bbdc5bdc1,2024-06-17,8
b8bdbd6b-65c3-4130-a42a-adfdf286584b,0fe20642-a583-45dc-9bb6-7b2e5f865021,2024-06-17,9
7fb69df9-fbcb-4f76-8823-ef720c4899f1,13011578-0782-4287-9186-29a6bf3a5f19,2024-06-17,10
3878f9c3-762a-42fe-955f-c6738fde3fe2,146dbb44-0d62-46a6-9262-e0f209dd3204,2024-06-18,1
51133114-0d8a-4f85-ad1c-0a45318e449d,15767327-468f-4f73-93ad-d908fcc7ef2d,2024-06-18,2
4c79058d-42d7-494d-bb64-55430f1290c5,15d75d4e-1dfe-4077-989f-4d6381db7b61,2024-06-18,3
a5a77fbe-3825-40ba-be74-f7b4d923c525,1705c7e2-511d-4c1c-99ce-b22528c762e5,2024-06-18,4
91f7d6cb-6d96-46ca-9a4d-377ad84abbfe,18991171-3fa1-42aa-bd16-7e5c2f1ffebd,2024-06-18,5
357b3efa-3546-473b-93f0-57d49960ccf6,198c656e-5382-4884-8236-788be40212a2,2024-06-18,6
0a13b78e-5f28-4bca-a2e8-906f7391de86,1ce99499-c1a1-4d1f-b7fc-95af20e5930d,2024-06-18,7
039d7c87-9120-422d-9125-50f97fa0bb2f,1cec6021-08a4-42fe-ae6e-8d65354dd82a,2024-06-18,8
b8bdbd6b-65c3-4130-a42a-adfdf286584b,1fd5dd59-0337-4194-91df-17cd0f027ac8,2024-06-18,9
7fb69df9-fbcb-4f76-8823-ef720c4899f1,2052232a-1ccc-414e-bfc2-7626af599ad2,2024-06-18,10
3878f9c3-762a-42fe-955f-c6738fde3fe2,20e9617e-efc3-4d5e-8eb6-f566822687dc,2024-06-19,1
51133114-0d8a-4f85-ad1c-0a45318e449d,21014605-d736-4080-a183-3fb91577f47a,2024-06-19,2
4c79058d-42d7-494d-bb64-55430f1290c5,24497564-1064-499e-aa51-87bb08883562,2024-06-19,3
a5a77fbe-3825-40ba-be74-f7b4d923c525,26d84fb7-28ec-4cec-9143-18acfb781d1a,2024-06-19,4
91f7d6cb-6d96-46ca-9a4d-377ad84abbfe,29fe1ff3-e105-4cbd-bb86-4b9d8d7fbc06,2024-06-19,5
